Account_Length;Vmail_Message;Day_Mins;Eve_Mins;Night_Mins;Intl_Mins;CustServ_Calls;Churn;Intl_Plan;Vmail_Plan;Day_Calls;Day_Charge;Eve_Calls;Eve_Charge;Night_Calls;Night_Charge;Intl_Calls;Intl_Charge;State;Area_Code;Phone
55;25;7;6;7;11;3;0;0;1;123;1;95;0;90;0;2;0;CO;408;419-2637
70;24;10;11;9;0;1;0;0;1;101;2;98;1;68;0;4;0;GA;415;411-1530
106;0;9;10;8;1;2;1;0;0;96;1;85;1;88;0;1;0;TX;510;395-3026
128;29;7;9;323;0;0;0;0;1;104;1;86;1;78;1;7;0;VT;510;388-6441
94;0;7;155;8;8;4;1;0;0;105;26.84;101;1;84;0;5;0;IN;408;402-1251
111;0;9;9;8;12;1;0;0;0;118;2;76;1;98;0;2;0;WV;510;412-9997
74;35;6;5;8;0;2;0;0;1;104;1;84;0;57;0;9;0;KY;415;346-7302
128;0;10;10;9;1;1;1;0;0;125;2;93;1;68;0;4;0;NJ;415;358-9095
82;0;6;8;5;0;1;0;0;0;61;1;105;1;94;0;2;3;DC;510;400-9770
155;0;8;8;196;0;0;1;0;0;100;1;104;1;119;0;4;0;LA;415;334-1275
80;0;5;173;11;0;1;0;0;0;100;1;107;1;62;0;9;0;AR;415;340-4953
78;0;11;7;11;0;3;0;0;0;93;42.99;112;1;105;1;7;0;ME;415;400-9510
90;0;7;8;5;0;3;0;0;0;71;1;81;1;91;0;7;0;AZ;415;387-6103
104;0;12;81;7;0;1;0;0;0;106;2;113;0;137;0;5;0;AK;408;366-4467
73;0;7;9;7;13;0;0;0;0;110;1;72;1;72;0;4;0;MT;415;370-3450
99;0;8;9;8;0;4;0;0;0;87;33.69;76;1;113;0;3;0;AZ;415;327-3954
120;0;9;9;7;0;1;1;0;0;131;2;104;1;96;0;5;0;MS;408;355-6291
77;0;10;9;11;0;2;1;0;0;72;42.81;126;1;109;1;7;0;ID;415;362-9748
98;21;7;11;7;0;4;0;0;1;114;1;83;1;92;0;8;0;IA;510;379-6506
108;0;7;189;5;1;0;0;0;0;137;1;76;1;102;0;5;0;MA;415;347-7741
135;0;6;119;180;0;0;0;0;0;82;25.79;105;0;100;0;6;0;VT;415;354-3783
95;0;135;8;10;1;1;0;0;0;99;1;106;1;102;0;9;0;KY;408;401-7594
122;0;7;7;10;0;1;0;0;0;94;28.99;109;1;75;0;2;0;IN;408;397-4976
95;0;10;8;190;0;4;0;0;0;65;2;98;1;115;0;4;0;AZ;408;334-2577
36;29;12;8;8;9;2;0;0;1;102;47.84;76;1;113;0;6;0;MI;510;400-3637
93;21;5;7;217;0;1;0;0;1;131;1;115;1;86;0;3;0;NM;510;383-4361
141;32;6;5;9;0;1;0;0;1;91;1;97;0;142;0;1;0;CO;415;371-4306
157;0;10;6;10;0;3;0;0;0;90;2;121;1;108;0;7;0;UT;408;403-4298
120;0;165;13;5;0;1;0;0;0;100;1;83;26.96;86;0;8;0;MI;408;409-3786
103;0;185;9;9;1;2;0;0;0;117;1;94;1;91;0;2;0;MA;415;337-4697
98;0;161;8;9;1;4;0;0;0;117;1;113;1;113;0;4;0;AL;408;383-1509
125;0;5;206;10;1;1;0;0;0;108;1;90;1;114;0;7;0;DE;408;359-9794
63;0;2;7;9;0;1;0;0;0;125;0;59;1;88;0;3;0;AZ;415;407-7035
36;42;8;11;6;20;0;1;1;1;89;1;122;1;126;0;6;0;ME;510;363-1069
64;0;7;6;2;1;1;0;0;0;83;27.64;109;1;122;0;3;0;NJ;510;391-4652
74;0;12;9;170;0;1;1;0;0;114;2;48;1;115;0;4;0;NV;415;355-6837
112;36;5;7;7;10;2;0;0;1;117;1;82;1;118;0;3;0;MO;510;409-1244
97;0;10;9;6;0;2;0;0;0;125;40.77;111;1;81;0;5;0;ID;408;328-3266
46;0;9;9;8;1;1;0;0;0;92;35.73;77;1;116;9;7;0;NE;408;352-7072
41;22;9;6;6;0;0;0;0;1;102;2;86;1;123;0;3;0;TX;408;370-7550
121;0;8;8;9;0;3;0;0;0;103;1;117;1;103;0;4;0;MD;510;369-5526
193;0;7;6;5;0;1;0;0;0;124;1;95;0;89;0;3;0;MS;415;329-4391
130;0;6;5;9;0;2;0;0;0;119;1;98;0;117;0;5;0;NV;510;408-4195
85;0;8;10;11;12;1;0;0;0;52;1;104;1;106;0;3;0;AZ;408;354-4445
162;0;3;7;6;0;4;1;0;0;108;1;87;1;82;0;3;0;MS;415;335-4858
61;27;8;6;9;0;4;1;0;1;124;31.88;103;1;129;0;6;0;MS;510;414-8718
92;0;4;8;175;0;2;0;0;0;90;1;123;1;86;0;4;0;TX;408;409-5939
131;36;9;7;11;0;3;0;0;1;115;2;117;1;102;1;4;0;NE;408;331-4902
90;0;6;9;6;0;3;0;0;0;92;24.74;114;1;123;0;2;0;NE;415;353-6870
75;0;7;7;11;0;1;0;0;0;125;1;86;1;80;0;5;0;CA;408;355-2909
78;0;231;10;11;0;1;0;0;0;115;2;140;1;120;1;3;0;NJ;415;390-6101
82;0;8;8;9;0;4;0;0;0;96;1;102;1;60;0;1;0;TX;408;400-3446
163;0;197;8;9;0;1;0;0;0;109;1;128;1;80;0;10;0;AR;408;411-5859
91;0;5;7;10;0;3;0;1;0;112;1;83;1;130;0;3;0;AL;510;387-2919
75;21;7;9;10;0;5;0;0;1;97;29.89;106;1;134;0;4;0;NY;415;374-8525
91;0;8;9;8;12;3;0;0;0;106;1;113;1;129;0;3;0;FL;510;379-5592
127;36;8;5;11;0;1;0;0;1;117;1;76;0;71;1;8;0;AK;510;345-8237
113;23;205;152;7;0;2;0;0;1;101;34.85;60;1;59;0;5;0;NV;415;422-6690
110;0;6;12;8;1;1;0;0;0;115;1;84;1;112;0;3;0;DE;510;346-2359
120;39;8;9;11;0;0;0;0;1;68;1;97;1;116;0;4;0;MD;415;374-3534
157;28;8;8;5;0;3;0;0;1;107;32.74;74;1;139;0;5;0;MI;415;381-4756
103;0;10;8;8;0;1;0;0;0;47;41.91;84;1;96;0;4;0;VT;510;390-2805
117;0;7;7;10;1;2;1;1;0;86;1;87;1;132;0;7;0;VT;408;390-2390
140;0;10;7;5;1;3;0;0;0;101;2;94;1;98;0;6;0;MI;415;419-9097
127;0;6;8;8;1;1;0;0;0;91;24.94;78;1;110;0;3;0;WA;408;386-7281
83;0;11;9;5;0;1;0;1;0;87;2;126;1;105;0;4;0;UT;408;380-3561
121;0;8;9;7;0;1;0;0;0;121;30.86;98;1;103;0;5;0;LA;408;390-8760
145;43;11;7;12;0;2;0;0;1;97;43.81;95;1;86;1;4;3;RI;408;366-6730
113;0;8;9;7;0;1;0;0;0;99;32.95;125;1;67;0;6;0;IA;408;395-5285
117;0;4;9;299;0;1;0;0;0;119;1;91;1;105;1;7;0;NE;415;354-3436
65;0;8;7;9;0;1;0;0;0;116;31.94;117;1;86;0;6;0;OH;408;336-7600
56;0;226;10;6;0;1;0;0;0;112;2;118;1;142;0;11;0;RI;415;383-6293
96;0;11;146;11;0;5;0;0;0;115;2;46;1;87;1;4;0;OK;415;362-4596
151;0;7;12;11;0;0;0;0;0;116;1;138;24.83;101;1;4;0;LA;408;401-3926
83;0;14;9;6;1;0;1;0;0;120;2;116;1;114;0;7;0;OH;415;370-9116
139;23;7;247;11;1;0;0;0;1;129;26.79;96;21;112;1;2;0;VA;510;328-6289
6;0;8;11;7;0;1;0;0;0;117;1;72;1;79;0;2;0;MO;510;350-9994
115;24;6;8;7;0;1;0;0;1;124;1;129;1;114;0;4;0;FL;510;351-4616
87;0;6;7;6;0;0;0;0;0;97;1;108;1;101;0;5;0;SC;415;360-5779
141;0;9;10;11;12;0;0;0;0;110;36.91;111;1;103;0;6;0;VA;415;417-4885
141;36;8;10;10;0;3;0;0;1;99;31.88;116;1;105;0;5;0;IA;510;406-4710
62;0;4;6;10;1;1;0;0;0;103;1;122;0;82;0;1;0;MI;415;409-8743
146;0;9;6;7;0;1;0;0;0;151;1;89;1;91;0;3;0;OK;415;335-4584
92;33;10;9;10;1;2;0;0;1;92;2;92;1;104;0;2;0;DE;415;361-9845
185;31;8;7;11;0;1;0;0;1;126;1;133;1;126;1;3;0;GA;510;366-5699
148;0;202;10;11;0;1;0;0;0;102;1;128;1;90;1;3;0;DC;415;329-9364
94;38;7;8;4;1;1;0;0;1;124;28.92;116;1;73;0;4;0;AZ;408;390-7434
32;0;10;8;154;0;0;0;0;0;87;2;90;1;53;0;2;0;AL;510;404-9680
68;0;10;9;4;1;1;0;0;0;105;2;105;19;79;0;2;0;CO;408;338-9398
64;27;8;7;7;0;2;0;0;1;91;30.96;98;1;86;0;5;0;NH;408;394-2445
25;0;5;9;11;0;3;0;0;0;87;1;101;1;86;1;4;0;NM;415;381-2709
65;0;5;7;8;1;1;0;0;0;87;1;93;1;150;0;2;0;OR;415;397-5060
179;0;9;6;10;0;0;0;0;0;92;2;125;1;104;0;5;0;LA;408;415-2393
94;0;11;169;7;0;2;0;0;0;104;42.94;125;1;106;0;7;3;NE;415;377-1765
62;0;6;8;8;1;0;0;0;0;91;1;107;1;115;0;3;0;MN;415;409-2111
127;0;8;10;8;0;2;0;0;0;103;1;86;1;113;0;3;0;MI;415;401-3170
116;0;7;8;208;1;3;0;0;0;93;1;76;1;112;0;10;0;AR;408;405-5681
70;0;10;12;8;0;3;0;0;0;122;2;112;24.85;112;0;0;0;KS;408;411-4582
94;23;8;9;12;0;4;0;1;1;125;1;136;1;103;1;5;0;WV;510;355-5009
126;0;2;6;6;0;5;1;0;0;94;0;118;1;91;0;1;0;AK;415;372-3750
67;36;5;10;7;0;2;0;0;1;111;1;94;1;103;0;12;0;NY;408;405-2888
19;0;8;11;214;1;2;0;0;0;98;31.64;57;1;127;0;7;0;NH;408;361-3337
170;0;11;245;6;0;3;0;1;0;68;2;122;1;121;0;3;0;VA;510;350-1639
73;0;9;11;10;0;1;0;0;0;145;2;135;1;92;0;13;0;NM;415;333-3221
106;0;7;3;8;0;1;0;0;0;74;26.98;139;0;103;0;4;0;NY;408;422-1471
93;0;11;10;3;0;2;0;0;0;71;2;108;1;121;0;3;0;AZ;415;399-7865
164;0;7;7;8;9;1;0;0;0;111;1;126;1;112;0;3;0;WY;510;373-4819
51;0;10;8;10;0;1;0;0;0;109;2;95;1;107;0;3;0;WA;408;338-6981
107;0;6;8;5;0;0;0;0;0;85;1;94;1;115;0;4;0;CO;415;418-4365
130;0;7;4;238;0;1;0;0;0;109;1;104;0;69;0;2;0;TX;415;359-5461
80;0;9;8;9;0;2;0;0;0;74;35.68;77;1;119;0;4;0;KY;408;375-3586
94;0;6;8;150;1;0;0;0;0;118;1;88;1;131;0;2;0;MT;415;407-8376
118;23;12;7;5;0;1;0;0;1;52;2;111;1;88;0;4;0;OK;408;408-6496
117;23;8;177;8;0;1;0;0;1;86;33.68;86;1;92;0;6;0;MD;415;385-7688
78;0;6;8;11;0;0;0;0;0;119;1;115;1;126;1;8;0;TN;415;332-6934
208;0;14;7;8;0;2;1;0;0;67;2;113;1;102;0;6;0;TX;510;378-3625
131;26;12;8;11;1;4;1;1;1;101;49.79;97;1;127;0;7;0;ME;510;353-7292
63;0;83;177;10;13;0;0;0;0;64;1;106;1;89;0;3;0;DC;408;399-6786
53;24;6;9;10;1;3;0;0;1;146;24.77;136;1;96;0;5;0;MN;415;358-3261
62;0;8;14;245;0;2;0;0;0;101;30.99;93;1;131;0;1;0;DE;408;377-9932
97;0;218;184;10;0;3;0;0;0;86;2;94;1;110;0;8;0;MD;415;397-4030
105;0;6;7;217;0;2;0;0;0;109;1;51;1;83;0;3;0;MI;510;367-1062
157;0;6;11;8;0;1;0;0;0;105;25.96;80;1;93;0;4;0;WA;415;341-8467
66;36;4;9;8;1;1;0;0;1;76;1;77;1;117;0;2;0;MO;415;339-9453
122;0;10;3;7;1;2;0;0;0;98;2;72;0;84;0;8;0;IN;415;344-3388
38;0;8;8;9;0;3;0;0;0;94;1;95;1;90;0;5;0;OR;415;375-8013
106;0;9;6;11;1;3;0;0;0;95;2;70;1;124;0;5;0;MD;510;408-4142
99;0;9;10;9;1;3;0;0;0;112;36.92;89;1;89;0;7;0;RI;510;386-3671
99;0;10;6;8;0;1;0;0;0;72;40.99;98;1;109;0;10;0;LA;415;411-2284
144;0;8;10;8;0;0;0;1;0;100;1;103;1;94;0;11;0;AZ;510;346-7795
82;24;6;10;5;0;1;0;0;1;131;1;106;1;68;0;3;0;PA;415;333-5609
86;31;7;113;10;1;1;0;0;1;139;1;118;0;121;0;6;0;AZ;408;405-1842
70;0;9;10;3;1;2;1;1;0;98;2;115;1;93;0;4;0;FL;510;366-6345
93;0;7;7;9;0;3;0;0;0;93;1;98;1;131;0;6;0;LA;415;337-9345
93;0;6;8;7;0;0;0;0;0;89;25.74;76;1;120;0;3;0;FL;415;328-6770
120;0;180;9;11;0;3;0;0;0;80;1;82;1;91;1;7;0;FL;415;380-7321
136;0;10;11;151;13;1;1;0;0;121;2;118;1;114;0;2;0;MD;415;375-1476
106;0;223;5;8;0;0;0;0;0;121;37.91;98;0;107;0;12;0;AL;415;356-1567
81;0;8;6;9;1;3;0;0;0;116;1;98;1;99;0;6;0;WA;415;422-6685
127;22;166;7;10;0;1;0;0;1;114;1;103;1;68;0;6;0;TN;408;336-1090
65;0;6;11;9;0;1;0;0;0;112;1;96;1;104;0;2;0;MS;415;343-2095
35;0;6;10;7;0;2;0;0;0;113;1;122;1;104;0;6;0;ME;408;345-3934
88;0;3;7;236;1;2;0;0;0;97;0;76;1;113;0;1;0;OK;408;338-8050
65;0;9;10;10;0;1;0;0;0;111;2;94;1;123;0;4;0;IN;415;388-9568
123;0;9;10;9;0;3;0;0;0;85;1;78;1;136;0;2;0;MO;415;402-6591
126;27;8;8;3;0;2;0;0;1;78;31.65;83;1;139;0;3;0;IA;408;403-6419
104;23;12;9;6;1;4;0;0;1;136;47.63;92;1;102;0;3;0;VA;415;386-9790
45;22;8;13;7;0;0;0;0;1;84;1;92;26.62;108;0;3;0;KY;415;378-5692
93;0;312;5;9;0;0;1;1;0;109;2;100;11;74;0;2;0;MD;408;360-3324
63;36;199;12;8;11;1;0;1;1;110;33.83;111;24.76;92;0;6;0;OH;415;410-3719
100;0;8;217;8;1;3;0;0;0;96;1;126;1;122;0;2;0;OK;415;352-4221
53;0;7;9;6;0;0;0;0;0;97;1;87;1;113;0;2;0;NV;415;327-6179
92;0;7;10;10;9;1;0;1;0;140;1;105;1;117;0;5;0;ID;415;359-6196
139;0;6;9;8;0;5;1;0;0;106;1;98;1;125;0;2;0;MN;510;374-9107
110;40;8;5;10;9;2;0;0;1;103;1;128;0;98;0;9;0;SD;408;357-4078
110;0;3;8;8;0;3;0;0;0;117;1;98;1;101;0;7;0;IL;408;366-5780
215;0;3;5;9;0;0;0;0;0;148;1;91;0;110;0;9;0;WY;510;393-9619
73;0;8;7;6;0;1;0;0;0;86;32.67;116;1;87;0;6;0;AL;415;355-9295
138;0;9;4;8;1;0;0;0;0;89;2;125;0;79;0;5;0;NJ;510;400-5751
137;0;6;6;9;1;2;1;1;0;95;1;102;0;81;0;2;0;NV;415;338-1027
36;0;11;8;11;0;1;0;0;0;77;2;151;1;103;1;2;0;IN;415;405-8867
85;0;225;7;8;0;3;0;0;0;81;2;63;1;110;0;2;0;WV;408;336-5616
108;0;8;11;15;0;0;1;0;0;99;33.75;60;1;75;1;3;0;VA;408;335-1697
22;0;5;7;8;0;0;0;0;0;107;1;93;1;96;0;5;0;SC;408;331-5138
107;37;60;4;11;0;0;0;0;1;102;0;80;0;106;1;3;3;RI;415;385-8240
51;0;9;6;12;0;0;0;0;0;94;2;58;1;66;1;5;0;IN;510;348-1359
94;0;8;8;10;0;4;0;0;0;85;30.91;98;1;97;0;2;0;AZ;408;354-7339
119;23;154;278;10;0;2;0;0;1;114;1;137;1;112;0;4;0;NM;510;349-1687
33;29;7;5;12;1;4;1;0;1;99;26.76;80;0;79;1;11;0;OR;415;380-2558
106;0;9;172;8;1;4;0;0;0;91;1;109;1;143;0;7;0;NJ;415;365-2153
82;0;207;10;7;0;3;0;0;0;90;1;83;1;108;0;8;0;MS;408;345-6043
86;41;119;230;10;0;0;0;0;1;101;1;134;1;58;0;3;0;MI;510;349-2808
97;0;6;273;7;0;0;0;1;0;117;1;82;1;81;0;3;0;TX;415;411-1715
106;32;7;9;7;1;4;0;0;1;126;1;93;1;86;0;8;0;FL;408;385-2488
108;0;6;7;10;0;1;0;0;0;122;1;117;1;92;0;3;0;DC;510;377-7177
114;0;4;10;8;1;1;0;0;0;118;1;86;1;95;0;8;0;TX;415;342-1099
92;0;3;8;9;0;1;1;1;0;111;0;126;1;80;0;2;0;KS;408;386-4170
59;0;6;10;7;0;1;0;0;0;79;1;123;20;80;0;4;0;UT;510;413-1269
24;25;7;9;10;0;1;0;0;1;110;1;105;1;55;0;9;0;MN;510;396-4460
151;0;6;6;9;1;1;0;0;0;88;1;112;1;61;0;1;0;IL;408;334-2730
117;0;6;9;8;0;1;0;0;0;103;1;108;1;96;0;3;0;NM;415;340-3182
78;0;7;9;241;1;1;0;0;0;110;28.61;73;1;136;0;1;0;SC;510;377-8608
155;0;11;8;6;0;2;0;0;0;55;44.61;113;1;85;0;6;0;NC;408;417-3676
114;30;9;260;12;0;1;0;0;1;79;1;91;1;83;1;6;0;WV;510;417-6774
114;28;9;193;10;0;4;0;0;1;94;2;117;1;100;0;9;0;RI;510;411-9554
119;0;6;7;11;1;3;0;0;0;89;1;78;1;98;1;6;0;NH;408;420-3192
64;48;4;6;6;0;0;0;0;1;104;1;101;0;89;0;4;0;MO;510;389-1475
118;0;160;7;8;0;2;0;1;0;123;1;96;1;99;0;3;0;MA;408;343-7734
101;0;9;9;10;1;0;0;0;0;105;1;117;1;100;0;3;0;PA;415;410-3390
117;0;6;180;8;0;1;0;0;0;121;1;83;1;104;0;3;0;OK;415;344-6495
49;28;9;10;9;8;3;0;0;1;78;2;100;1;107;0;13;0;AL;415;331-6229
139;0;8;10;8;13;3;0;0;0;104;32.78;96;1;101;0;3;0;WY;415;337-7501
92;28;6;8;10;10;1;0;0;1;90;25.69;79;1;114;0;3;0;PA;408;339-9631
83;0;9;10;5;0;3;0;0;0;103;37.64;103;1;100;0;5;0;WA;415;369-4384
148;0;9;208;8;0;0;0;1;0;88;2;85;1;99;0;4;3;HI;510;416-3915
144;48;8;5;9;0;2;1;0;1;96;1;67;0;106;0;2;0;SD;408;339-3049
131;25;8;9;11;0;2;0;0;1;85;32.76;105;1;59;0;6;0;AL;415;361-7998
146;0;9;9;9;0;3;0;1;0;135;34.75;90;1;114;0;6;0;VT;510;355-4842
143;0;7;174;8;13;2;0;0;0;97;1;108;1;119;0;4;0;MT;415;387-6440
81;0;8;9;8;0;2;0;0;0;93;33.73;108;1;71;0;6;0;MN;415;369-2625
48;37;9;7;6;1;1;0;0;1;115;35.99;84;1;80;0;1;0;AK;415;389-7073
86;28;9;12;10;9;1;0;0;1;74;37.67;100;1;105;0;2;0;MI;415;370-8463
71;0;8;8;12;0;3;0;0;0;108;33.64;109;1;56;1;5;0;DE;415;362-7318
145;24;6;7;11;1;2;0;0;1;90;1;108;1;102;0;3;0;SD;408;412-1194
137;0;9;128;8;0;2;0;0;0;122;1;102;0;84;0;5;0;MI;510;355-9508
137;0;9;9;12;1;2;0;0;0;88;35;86;1;84;1;4;0;KS;408;352-8202
167;0;9;6;11;1;0;0;0;0;88;1;63;0;98;0;5;0;AL;510;335-5882
89;0;13;11;13;0;1;1;0;0;95;51.66;114;1;89;1;3;0;OK;510;352-6976
199;34;10;9;12;8;0;0;0;1;121;2;99;1;94;1;2;0;CT;415;393-6733
132;0;4;5;5;0;0;0;0;0;110;1;80;0;124;0;3;0;NE;510;335-1838
94;0;7;194;6;0;1;0;0;0;112;1;112;1;108;0;4;0;WI;510;355-6930
